Year (C7.1a),Gas,Scope 1 Emissions (metric tons CO2e)
2021,CO2,96700
2021,CH4,53
2021,N2O,236
2021,HFCs,21070
2021,SF6,41
2020,CO2,91057
2020,CH4,41
2020,N2O,238
2020,HFCs,22044
2020,SF6,32
2019,CO2,73151
2019,CH4,26
2019,N2O,199
2019,HFCs,17315
2019,SF6,32
2018,CO2,73112
2018,CH4,27
2018,N2O,186
2018,HFCs,24314
2018,SF6,NA
2017,CO2,70399
2017,CH4,23
2017,N2O,186
2017,HFCs,17878
2017,SF6,NA
2016,CO2,76306
2016,CH4,24
2016,N2O,146
2016,HFCs,14092
2016,SF6,NA
2015,CO2,72043
2015,CH4,22
2015,N2O,137
2015,HFCs,12986
2015,SF6,NA
2014,CO2,NA
2014,CH4,NA
2014,N2O,NA
2014,HFCs,NA
2014,SF6,NA
2013,CO2,NA
2013,CH4,NA
2013,N2O,NA
2013,HFCs,NA
2013,SF6,NA
2012,CO2,35655
2012,CH4,19.08
2012,N2O,49.72
2012,HFCs,5124
2012,SF6,NA
2011,CO2,42098
2011,CH4,80.49
2011,N2O,97.02
2011,HFCs,5107.4
2011,SF6,NA
2010,CO2,36538
2010,CH4,66
2010,N2O,86
2010,HFCs,NA
2010,SF6,NA
