Year (C6.1 - 6.5),2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross global Scope 1 emissions (metric tons CO2e),118100,113412,90723,97639,88486,90568,85188,NA,NA,40848,34377,41649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"_Gross global Scope 2, location-based_ (metric tons CO2e)",4102445,3556553,3000523,2692709,2060534,1637429,1521370,NA,NA,1186492,725484,1035385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 2, market-based (metric tons CO2e)",228194,275375,183329,139110,37087,153773,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 3, purchased goods and services (metric tons CO2e)",4050000,4200000,11000000,14000000,10000000,8000000,8000000,NA,NA,71731,75298,66872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 3, Purchased goods and services (percent of emissions from supllieres)",66,50,0,0,0,0,0,NA,NA,42,30,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 3, Capital goods (metric tons CO2e)",2750000,2100000,500000,200000,200000,400000,200000,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 3, Capital goods (percent of emissions from supllieres)",48,61,0,0,0,0,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 3, Fuel and Energy not included in scope 1 or 2 (metric tons CO2e)",180000,170000,550000,89000,412039,319309,283234,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 3, Fuel and Energy not included in scope 1 or 2 (percent of emissions from supllieres)",0,0,"0
",0,0,0,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 3, Upstream Transportatiand Distribution (metric tons CO2e)",100000,60000,100000,100000,100000,100000,100000,NA,NA,2641,2637,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 3, Upstream Transportatiand Distribution (percent of emissions from supllieres)",73,24,0,0,0,0,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 3, Waste Generated (metric tons CO2e)",800,1200,600,700,838,1327,2441,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 3, Waste Generated (percent of emissions from supllieres)",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 3, Business Travel (metric tons CO2e)",329356,392557,378230,343860,305678,307691,315269,,,303012,311082,222322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 3, Business Travel (percent of emissions from supllieres)",97,100,100,100,100,100,100,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 3, Employee Commuting (metric tons CO2e)",317000,395000,330000,330000,200000,260000,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 3, Employee Commuting (percent of emissions from supllieres)",30,30,30,0,0,0,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 3, Upstream Leased Assets (metric tons CO2e)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 3, Upstream Leased Assets (percent of emissions from supllieres)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 3, Downstream transportation and distribution (metric tons CO2e)",44000,53000,100000,80000,900000,1000000,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 3, Downstream transportation and distribution (percent of emissions from supllieres)",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 3, Processing of sold products (metric tons CO2e)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 3, Processing of sold products (percent of emissions from supllieres)",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 3, Use of sold products (metric tons CO2e)",3025000,3874000,4784000,6000000,11000000,13000000,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 3, Use of sold products (percent of emissions from supllieres)",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 3,End of life treatments (metric tons CO2e)",17000,76000,90000,110000,200000,200000,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 3, End of life treatment (percent of emissions from supllieres)",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross global Scope 3, Downstream leased assets (metric tons CO2e)",4600,770,1690,700,3749,2754,2837,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
